GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1833529759	2023-10-20 11:44:06.200028	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMS2023-T3G3	L27211760	P	23.4816280	68.5828320	2023-09-23	18:00:00	obsr1777443	S150546640	Traveling	P22	EBIRD	24	1.000		1	1	G10886453	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1827425979	2023-12-11 08:48:55.577016	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Bet.Dhrang-Kunariya rd.	L20791623	P	23.3999774	69.7770501	2023-09-08	10:30:00	obsr807222	S149938475	Traveling	P22	EBIRD	60	9.000		8	1	G10833834	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1836504856	2023-09-27 01:37:57.36983	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T10G5	L27226255	P	23.3928907	69.0176699	2023-09-24	12:11:00	obsr1278723	S150843620	Traveling	P22	EBIRD_IND	8	1.450		2	1	G10894025	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833383721	2023-12-11 08:49:31.935451	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				4					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Kachchh, Gujarat, IN (23.22, 70.184)	L27208223	P	23.2201103	70.1843393	2023-09-23	10:51:00	obsr1012996	S150531293	Traveling	P22	EBIRD	38	1.080		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833524157	2023-10-30 18:29:50.448753	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Amrapar, Gujarat, IN (23.374, 70.128)	L27211466	P	23.3739638	70.1279390	2023-09-23	17:47:00	obsr2207885	S150545182	Traveling	P22	EBIRD	20	1.706		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834178227	2023-10-19 00:01:52.972143	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC_23 T5G4	L27224960	P	23.4786460	68.9831330	2023-09-24	07:51:00	obsr1662974	S150611826	Traveling	P22	EBIRD_IND	40	1.000		2	1	G10883963	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833416988	2023-12-11 08:49:32.735513	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Bhajir Vandh, Gujarat, IN (23.202, 68.856)	L27208729	P	23.2018162	68.8560152	2023-09-23	08:40:00	obsr2121818	S150533457	Traveling	P22	EBIRD_IND	15	2.000		3	1	G10878361	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834368776	2023-10-19 14:32:13.723004	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T2G7	L27228336	P	23.7997961	68.7882965	2023-09-24	16:13:00	obsr1173605	S150628274	Traveling	P22	EBIRD	27	1.000		4	1	G10884690	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1831558161	2023-12-11 08:49:29.14577	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Jaday Road, Nakhatrana Nana, Gujarat, IN (23.344, 69.24)	L27168240	P	23.3438002	69.2395146	2023-09-20	11:22:00	obsr1443405	S150348662	Traveling	P22	EBIRD	192	1.127		4	1	G10866473	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833414501	2023-12-11 08:49:32.570383	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Kachchh, Gujarat, IN (23.207, 68.864)	L27208655	P	23.2074053	68.8643968	2023-09-23	07:05:00	obsr741924	S150533114	Traveling	P22	EBIRD_IND	10	1.000		3	1	G10878332	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834621497	2023-12-11 08:50:40.961832	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Kasvati Dam	L6206937	H	23.3838785	69.9007380	2023-09-24	07:00:00	obsr454167	S150657845	Traveling	P22	EBIRD_IND	240	10.000		7	1	G10886016	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834155858	2023-11-19 10:21:06.578293	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					T29G2Unnamed Road, Kachchh, Gujarat, IN (23.35, 70.615)	L27224659	P	23.3499590	70.6146177	2023-09-24	07:03:00	obsr1202258	S150610163	Traveling	P22	EBIRD	59	1.600		4	1	G10883222	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1840779581	2023-12-11 08:50:33.256644	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				4					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Banni Grasslands--Lodai	L5372104	H	23.4383142	69.9236441	2023-09-30	06:42:00	obsr732123	S151271651	Traveling	P22	EBIRD_IND	306	33.346		10	1	G10910127	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833245389	2023-09-22 19:50:10.248917	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Dayapar OutCut	L27202360	P	23.6296205	68.9421020	2023-09-22	06:24:00	obsr1241180	S150519259	Traveling	P22	EBIRD	28	5.030		3	1	G10877299	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833417950	2023-12-11 08:49:32.702651	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Kachchh, Gujarat, IN (23.203, 68.851)	L27208724	P	23.2033968	68.8509197	2023-09-23	08:10:00	obsr741924	S150533388	Traveling	P22	EBIRD_IND	20	0.600		3	1	G10878356	0	1	0				
